ticker,weight
LLY,0.1572359
AVGO,0.13152042
KO,0.112920076
BAC,0.07853577
CAT,0.076461114
HON,0.05904392
PG,0.049151264
WMT,0.045610026
JNJ,0.034923464
NEE,0.031183457
AXP,0.024470063
AMD,0.02032187
UPS,0.018382633
GOOGL,0.015827114
AMT,0.015618863
V,0.014539157
MCD,0.014335045
BA,0.014113367
ORCL,0.009939284
NKE,0.009475896
LMT,0.008258039
TMO,0.007675881
PFE,0.007574025
AEP,0.006791296
ADBE,0.005046097
RTX,0.0042684264
TPL,0.0036836225
TMUS,0.0036794157
PLD,0.003459584
AMZN,0.0022415821
NFLX,0.0018260812
NOC,0.0018110333
CVX,0.0017228135
MA,0.0015371611
NVDA,0.0012567418
DE,0.0011498479
JPM,0.0010559626
MSFT,0.0008959414
HD,0.00088752504
SLB,0.00045548225
GS,0.00027790037
GD,0.0002680496
UNH,0.00017591749
MS,0.00015268014
XOM,0.0001450267
AAPL,6.368167e-05
BLK,3.0914885e-05
DIS,5.5950204e-07
MPC,9.266731e-09
